cuisinetype,avg_rating,num_restaurants
Egyptian,5,1
Thai,4.5,15
Vegan,4.5,2
Ethiopian,4.5,1
Nepalese,4.5,1
Peruvian,4.5,1
Bakery,4.5,1
African,4.5,1
British,4.5,1
Brazilian,4.5,1
Irish,4.5,1
Moroccan,4.5,1
Cafe,4.4,65
Indian,4.4,17
European,4.4,15
Dessert,4.4,12
Vietnamese,4.4,12
Steakhouse,4.4,10
Spanish,4.4,8
Malaysian,4.4,5
Vegetarian,4.4,4
Italian,4.3,90
Australian,4.3,66
Japanese,4.3,25
French,4.3,16
American,4.3,14
Asian,4.3,7
Korean,4.3,6
Seafood,4.3,4
Lebanese,4.3,3
Argentinian,4.3,2
Russian,4.3,2
Middle Eastern,4.3,2
Asian Fusion,4.3,2
Turkish,4.3,2
Bar,4.2,40
Chinese,4.2,20
Greek,4.2,10
Mexican,4.1,4
Mediterranean,4,2
Singaporean,4,1
Belgian,4,1
German,3.5,1
