Sapa Hills Restaurant,Vietnamese
Saporito Cafe Bar & Grill,Café 
Saporito Taquito,Mexican
Saxe,European
Scopri,Italian
Scugnizzo,Italian
seamstress,Asian
Seasons Provedore,French
Seedling Cafe,Café 
Self Preservation,Italian
Seven Seeds,Australian
Sezar,Middle Eastern
Shakahari too,Vegetarian
Shakahari Vegetarian Restaurant,Vegetarian
ShanDong MaMa,Chinese
ShanDong MaMa mini,Chinese
Shanghai Street,Chinese
Shark Fin Inn,Chinese
Shoya,Japanese
Shujinko,Japanese
Simply Spanish,Spanish
Simply Spanish QVM,Spanish
Sir Charles,Café 
Sister of Soul,Café 
Smith and Daughters,Vegan
Sons of Mary,Australian
Sosta Ristorante,Italian
Spaghetti Tree,Italian
Spice Temple,Chinese
Spicy Korea,Korean
SPQR Pizzeria,Italian
Spring Street Grocer Cafe,Café
Square & Compass,Café
Squires Loft South Yarra,Australian
St Ali Coffee Roasters,Café
St LuJa,Bar
Stalactites,Greek
Station Hotel,Bar
Steer Dining Room,Australian
Straight Outta Saigon,Vietnamese
Straits Cafe Melbourne,Café
Sud Food and Wine,Italian
Sunda,Asian
Supernormal,Japanese
Sushi Hub Swanston,Japanese
Swaad India's Zest,Indian
Taxi Kitchen,Asian
Tazio,Italian
Teatro,Italian
Ten Square Cafe,Café
Terra Rossa Restaurant & Bar,Italian
Thai city,Thai
The  European,European
The Abyssinian,Ethiopian
The Atlantic Restaurant,Seafood
The Bank on Collins,Australian
The Boatbuilders Yard,Australian
The Bond Store,Australian
The Breslin Bar & Grill,Bar
The Crafty Squire,Bar
The Crane Restaurant,Chinese
The Crux & Co,Café
The Deck Restaurant,Seafood
The Essence,Indian
The Fitz Cafe & Rooftop,Australian
The French Brasserie,French
The General Assembly,Bar
The Grain Store,Café
The Hardware Club,Italian
The Hardware Societe,Café
The Hof Downtown,Bar
The Irish Times Pub,Bar
The Jazz Corner Cafe,Café
The Kettle Black,Café
The Lady Of St Kilda,Italian
The League of Honest Coffee,Café
The Louden Kitchen & Grill,Australian
The Lui Bar,Bar
The Meat & Wine Co Hawthorn East,Australian
The Meat & Wine Co Southbank,Australian
The Meatball and Wine Bar,Italian
The Moat,Italian
The Olive Tree,European
The Pancake Parlour,America
The Point Restaurant,Australian
The Quarter,Café
The Railway Club Hotel Steakhouse,Australian
The Recreation bistro x bottleshop,Australian
The Sherlock Holmes,Bar
The Tippler & Co,Italian
The Vegie Bar,Vegetarian
Thirty Eight Chairs,Italian
Three Bags Full Cafe,Café
Tiamo,Italian
Tim Ho Wan,Chinese
Tipo 00,Italian
Tokui Sushi,Japanese
Tokyo Tina,Japanese
Tonka,Indian
Top Paddock,Café
Topolino's,Italian
Transformer Fitzroy,Vegetarian
Trattoria Emilia,Italian
Triim Food & Drink,Café
Trunk,Mediterranean
Tsindos-The Greeks Restaurant,Greek
Tulum Restaurant,Turkish
Two Birds One Stone,Café
Uncle Collins Street,Vietnamese
Universal Restaurant,Italian
University Cafe,Café
Vaporetto Bar & Eatery,Italian
Vertue Coffee Roasters,Café
Vespa Rossa,Café
Viet Kitchen,Vietnamese
Vivace,Italian
Vue De Monde,Australian
Waiters Restaurant - Italian Waiters Club,Italian
Walkers Doughnuts,American
Waterfront,Japanese
White Mojo Speciality Coffee & Roaster,Café
White Rabbit,Australian
Windows Restaurant,Fusion
Yassas - The Greek Way,Greek
Yeonga Korean BBQ,Korean
Young and Jacksons,Bar
